Word,Device,Action,YN
FFFFFFFFFFFFFF,Dummy,Dummy,N
7FD446EB00C30D,1stHallSH,Alive,Y
7FD446EB00C3FF,1stHallSH,AliveCRC,Y
BF3ADAFA9083FF,MedPni3,A90,N
7FD446EB04F201,1stHallSH,Heat,Y
7FD446EB01CE01,1stHallSH,Smoke,Y
7FD44DF8007006,2ndHallSH,Alive,Y
7FD44DF8017D0A,2ndHallSH,Smoke,Y
7FB5463301C10F,BackCenterWindow,Closing,Y
7FB546330112FF,BackCenterWindow,ClosingCRC,Y
7FB5463305F003,BackCenterWindow,Opening,Y
7FB5463305F0FF,BackCenterWindow,OpeningCRC,Y
7FB54633214002,BackCenterWindow,StillClosed,Y
7FB546332540FF,BackCenterWindow,StillOpen,Y
7FB5463303C10F,BackCenterWindow,TamperClosing,Y
7FB5463307F004,BackCenterWindow,TamperOpening,Y
7FB546332340FF,BackCenterWindow,TamperStillClosed,Y
7FB546332740FF,BackCenterWindow,TamperStilOpen,Y
7FB5E6D200BB09,BackDoor,Closing,Y
7FB5E6D201B605,BackDoor,Opening,Y
7FB5E6D2203A04,BackDoor,StillClosed,Y
7FB5E6D2213708,BackDoor,StillOpen,Y
7F75B4F5018604,BackLeftWindow,Closing,Y
7F75B4F505B708,BackLeftWindow,Opening,Y
7F75B4F5210709,BackLeftWindow,StillClosed,Y
7F75B4F525580E,BackLeftWindow,StillOpen,Y
7F75B4F5039F08,BackLeftWindow,TamperClosing,Y
7F75B4F507AE04,BackLeftWindow,TamperOpening,Y
7F75B4F5236902,BackLeftWindow,TamperStillClosed,Y
7F75B4F5272F09,BackLeftWindow,TamperStillOpen,Y
7F755C8001A10C,BackRightWindow,Closing,Y
7F755C80059000,BackRightWindow,Opening,Y
7F755C80212001,BackRightWindow,StillClosed,Y
7F755C80212006,BackRightWindow,StillClosedCRC,Y
7F755C80252008,BackRightWindow,StillOpen,Y
7F755C8003B800,BackRightWindow,TamperClosing,Y
7F755C8007890C,BackRightWindow,TamperOpening,Y
7F755C80232007,BackRightWindow,TamperStillClosed,Y
7F755C80272009,BackRightWindow,TamperStillOpen,Y
7F75B42D017000,DineLeftWindow,CloseCRC,Y
7F75B42D010303,DineLeftWindow,Closing,Y
7F75B42D054100,DineLeftWindow,OpenCRC,Y
7F75B42D05320F,DineLeftWindow,Opening,Y
7F75B42D21820E,DineLeftWindow,StillClosed,Y
7F75B42D25B302,DineLeftWindow,StillOpen,Y
7F75B42D254102,DineLeftWindow,StillOpenCRC,Y
7F75B42D031A0F,DineLeftWindow,TamperClosing,Y
7F75B42D072B03,DineLeftWindow,TamperOpening,Y
7F75B42D236901,DineLeftWindow,TamperStillClosed,Y
7F75B42D27AA0E,DineLeftWindow,TamperStillOpen,Y
7F75B42D5175FF,DineLeftWindow,Unknown,N
7F75B45601700E,DineRightWindow,Closing,Y
7F75B456054102,DineRightWindow,Opening,Y
7F75B45621F103,DineRightWindow,StillClosed,Y
7F75B45625580E,DineRightWindow,StillOpen,Y
7F75B456036902,DineRightWindow,TamperClosing,Y
7F75B45607580E,DineRightWindow,TamperOpening,Y
7F75B456236902,DineRightWindow,TamperStillClosed,Y
7F75B45627D903,DineRightWindow,TamperStillOpen,Y
7F7500ED002C00,FrontDoor,Closing,Y
7F7500ED01210C,FrontDoor,Opening,Y
7F7500ED20AD0D,FrontDoor,StillClosed,Y
7F7500ED21A001,FrontDoor,StillOpen,Y
7F75808900470B,GarageDoor,Closing,Y
7F758089014A07,GarageDoor,Opening,Y
7F75808920C606,GarageDoor,StillClosed,Y
7F75808921CB0A,GarageDoor,StillOpen,Y
BFECF07790B9FF,GlassBreak,Alive,Y
BFECF07790B9FF,GlassBreak,Detected,Y
BFECF077A0F9FF,GlassBreak,Restored,N
BFECF0778175FF,GlassBreak,TamperNew,Y
BFECF0770079FF,GlassBreak,TamperOld,Y
BFECF0F7807FFF,GlassBreak,Unknown,Y
7FB04D2A8D0F09,MedPniB04D2A,8D,N
7FB04D2AA0D308,MedPniB04D2A,A0,N
7FB14D2AA0D101,MedPniB14D2A,A0,N
7FB24D2AA0D40E,MedPniB24D2A,A0,N
7FB34D2AA0D607,MedPniB34D2A,A0,N
7FB44D2A824505,MedPniB44D2A,82,N
7FB44D2A846D05,MedPniB44D2A,84,N
7FB54D2AA0DF0D,MedPniB54D2A,A0,N
7FB64D2AA0DA02,MedPniB64D2A,A0,N
7FB74D2A834D06,MedPniB74D2A,83,N
7FB74D2AA0D80B,MedPniB74,0,N
7FB84D2A847C05,MedPniB84D2A,84,N
7FB84D2A882C05,MedPniB84D2A,88,N
7FB94D2AA0CE0D,MedPniB94D2A,A0,N
7FBA4D2AA0CB02,MedPniBA4D2A,A0,N
7FBB4D2AA0C90B,MedPniBB4D2A,A0,N
7FBC4D2AA0C208,MedPniBC4D2A,A0,N
7FBD4D2AA0C001,MedPniBD4D2A,A0,N
7FBE4D2AA0C50E,MedPniBE4D2A,A0,N
7FBF4D2A847706,MedPniBF4,4,N
7FBF4D2A8C160A,MedPniBF4D2A,8C,N
7FBF4D2AA0C707,MedPniBF4D2A,A0,N
7FB84D2A8B3805,MedPnl,Stay,N
21FFADD1FFA301,MedPowerUp,Old,N
F7F5E4DA01470C,MedPowerUp,Old,N
7FB44D2AA0DD04,MedPowerUp,Old,N
7FB84D2A8D1005,MedPowerUp,Old,N
ABCD8400CDFFFF,MedPowerUp,Old,N
ADCD09FFFFBF13,MedPowerUp,Old,N
B54633214002FF,MedPowerUp,Old,N
BF6B991020FF7F,MedPowerUp,Old,N
FBFADD14C0890F,MedPowerUp,Old,N
BFFFBFECF07790,MedPowerUp,Old,N
D5A39901FFAFD6,MedPowerUp,Old,N
FFBFECF07790B9,MedPowerUp,Old,N
7FF5E4DA01470C,PorchDoor,ClosingOrTampRemoved,Y
7FF5E4DA057600,PorchDoor,OpeningOrTampRemoved,Y
7FF5E4DA216F0C,PorchDoor,StillClosed,Y
7FF5E4DA256F0C,PorchDoor,StillOpen,Y
7FF5E4DA035E00,PorchDoor,ClosingOrTampHappens,Y
7FF5E4DA076F0C,PorchDoor,OpeningOrTampHappens,Y
7FF5E4DA236F0C,PorchDoor,TamperStillClosed,Y
7FF5E4DA276F0C,PorchDoor,TamperStillOpen,Y
7F0B00C80000D4,SmokeHeat,Test,Y
1DE1FF7FB54633,Unknown,001,N
8DA31B1B371B37,Unknown,002,N
BF5AA3130224FF,Unknown,003,N
BF5AA32109FFBF,Unknown,004,N
BF5AA3214002FF,Unknown,005,N
7FA3B53A0FFF7F,Unknown,006,N
3F1B03FF8DD6E1,Unknown,007,N
AF0EA01DA4B5FF,Unknown,008,N
BF03FF7F755C80,Unknown,009,N
476B551024FF7F,Unknown,010,N
BF5AA39980E0FF,Unknown,011,N
BFC1FF7F75B4F5,Unknown,012,N
BFFF7FB5463305,Unknown,013,N
ABA39910FF576B,Unknown,014,N
BF8D130224FF7F,Unknown,015,N
BF5AA39910FFBF,Unknown,016,N
BF6BFF7FB599FF,Unknown,017,N
8DFF6B09FF7F75,Unknown,018,N
AFD65C1A4487FF,Unknown,019,N
FFFF7F75808920,Unknown,020,N
75B4F5210709FF,Unknown,021,N
7F75EB430E12FF,Unknown,022,N
7FB84D2AA0CC04,Unknown,023,N
AF0E3011C4D8FF,Unknown,024,N
BF3A871CFF7FD4,Unknown,025,N
D1D63948FF7F75,Unknown,026,N
FF7F755C802120,Unknown,027,N
7F4FAE1D70C4FF,Unknown,028,N
BFDA2615D0EFFF,Unknown,029,N
BFDC1550FFBFDC,Unknown,030,N
BFDC261550E7FF,Unknown,031,N
2F3BFC1D40DEE1,Unknown,032,N
2F3BFC5D605DE0,Unknown,033,N
2F3BFC5D605DE0,Unknown,034,N
576B2E1D605BF0,Unknown,035,N
5F76F83B80BCC3,Unknown,036,N
5F76F8BBC0BAC0,Unknown,037,N
5F76F8BBC0BAC0,Unknown,038,N
6587BF03C83BFC,Unknown,039,N
6587BF0BAC0BFC,Unknown,040,N
7F91642101B4B3,Unknown,041,N
7F91642105B570,Unknown,042,N
7F91642121B56B,Unknown,043,N
1302FFAF33FF7F,Unknown,044,N
225948410B49FF,Unknown,045,N
33359909BF01FF,Unknown,046,N
57475B1F7290FF,Unknown,047,N
576B341302FF7F,Unknown,048,N
7F491652500BFF,Unknown,049,N
7F916421FF7F91,Unknown,050,N
7FB546214002FF,Unknown,051,N
7FC9420A6AE1FF,Unknown,052,N
B546332140FF7F,Unknown,053,N
CD01FFB5137FA3,Unknown,054,N
FF8D01126B13FF,Unknown,055,N
FFAD09AB352140,Unknown,056,N
7F91642125B4A8,Unknown,057,N
7F75B4FF7F7500,Unknown,058,N
7F09FF7F755C80,Unknown,059,N
7F6B0112FF7FD4,Unknown,060,N
7FB5CD840009FF,Unknown,061,N
BFFF7FD446EB00,Unknown,062,N
FF21FFFFBFECF0,Unknown,063,N
03302075FF7F81,Unknown,064,N
7F35FF7F811A80,Unknown,065,N
7F811A0B507105,Unknown,066,N
7F811A8005A838,Unknown,067,N
03FFA9FF7F811A,Unknown,068,N
056A0006A4EEBF,Unknown,069,N
1DFF7F75808920,Unknown,070,N
1F7FFF7F755C80,Unknown,071,N
475BFF475BFF7F,Unknown,072,N
5B1F39AFD121FF,Unknown,073,N
757DC8FFAB6D1F,Unknown,074,N
7F75AD5548FCFF,Unknown,075,N
7F75B421F103FF,Unknown,076,N
7F75B456213FFF,Unknown,077,N
7F75B456F1FF7F,Unknown,078,N
7F75B4891FFF7F,Unknown,079,N
7F75B4AB90F87F,Unknown,080,N
7F8101A9FB7F81,Unknown,081,N
7F811A8001A9FB,Unknown,082,N
7F811A80A9FBFF,Unknown,083,N
7F811AFF7F811A,Unknown,084,N
7FAB903FFF7F75,Unknown,085,N
7FC12AB4206AEC,Unknown,086,N
7FFF17A80375FF,Unknown,087,N
7FFF7F91642101,Unknown,088,N
811A01A9FF7F81,Unknown,089,N
BF3A5A21F103FF,Unknown,090,N
BF476B15123FFF,Unknown,091,N
FF2F50033020FF,Unknown,092,N
